"ALU_NOVAMATRICULA","ALU_ANO_EVASA","ALU_PERIODO_EVASAO","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","MAT_MEDIA_FINAL"
"52a2dad8414cf823a583b2909d847207",2004,1,1411186,"Projeto em Computação II",9.4
"52a2dad8414cf823a583b2909d847207",2004,1,1411188,"Métodos e Software Numéricos",7.83
"52a2dad8414cf823a583b2909d847207",2004,1,1411196,"Inteligência Artificial I",7.6
"52a2dad8414cf823a583b2909d847207",2004,1,1411185,"Projeto em Computação I",7.9
"52a2dad8414cf823a583b2909d847207",2004,1,1411184,"Lab. de Intercon. de Redes de Computadores",7.2
"52a2dad8414cf823a583b2909d847207",2004,1,1411189,"Compiladores",7.7
"52a2dad8414cf823a583b2909d847207",2004,1,1411191,"Interconexão de Redes de Computadores",7.2
"52a2dad8414cf823a583b2909d847207",2004,1,1411192,"Sistemas Operacionais",6
"52a2dad8414cf823a583b2909d847207",2004,1,1411190,"Redes de Computadores",5.5
"52a2dad8414cf823a583b2909d847207",2004,1,1411183,"Laboratório de Engenharia de Software",9
"52a2dad8414cf823a583b2909d847207",2004,1,1411194,"Banco de Dados II",7.8
"52a2dad8414cf823a583b2909d847207",2004,1,1305219,"Direito e Cidadania",7
"52a2dad8414cf823a583b2909d847207",2004,1,1411174,"Introdução à Computação",7.8
"52a2dad8414cf823a583b2909d847207",2004,1,1411167,"Programação I",7.8
"52a2dad8414cf823a583b2909d847207",2004,1,1109035,"Álgebra Vetorial e Geometria Analítica",7.5
"52a2dad8414cf823a583b2909d847207",2004,1,1411180,"Laboratório de Programação I",7.4
"52a2dad8414cf823a583b2909d847207",2004,1,1307151,"Leitura e Produção de Textos",9
"52a2dad8414cf823a583b2909d847207",2004,1,1109103,"Cálculo Diferencial e Integral I",8.5
"52a2dad8414cf823a583b2909d847207",2004,1,1108089,"Fundamentos de Física Clássica",NA
"52a2dad8414cf823a583b2909d847207",2004,1,1109113,"Matemática Discreta",5.8
"52a2dad8414cf823a583b2909d847207",2004,1,1411170,"Teoria dos Grafos",8.1
"52a2dad8414cf823a583b2909d847207",2004,1,1305218,"Métodologia Científica",7.8
"52a2dad8414cf823a583b2909d847207",2004,1,1411168,"Programação II",4.6
"52a2dad8414cf823a583b2909d847207",2004,1,1411181,"Laboratório de Programação II",7.1
"52a2dad8414cf823a583b2909d847207",2004,1,1108089,"Fundamentos de Física Clássica",7.6
"52a2dad8414cf823a583b2909d847207",2004,1,1114107,"Probabilidade e Estatistica",5
"52a2dad8414cf823a583b2909d847207",2004,1,1411176,"Gerência da Informação",8.3
"52a2dad8414cf823a583b2909d847207",2004,1,1411168,"Programação II",7.9
"52a2dad8414cf823a583b2909d847207",2004,1,1411171,"Teoria da Computação",7.7
"52a2dad8414cf823a583b2909d847207",2004,1,1114114,"Métodos Estatisticos",7.4
"52a2dad8414cf823a583b2909d847207",2004,1,1411173,"Lógica Matemática",9.3
"52a2dad8414cf823a583b2909d847207",2004,1,1411179,"Lab. de Estrutura de Dados e Algoritmos",7.8
"52a2dad8414cf823a583b2909d847207",2004,1,1411172,"Estrutura de Dados e Algoritmos",7.2
"52a2dad8414cf823a583b2909d847207",2004,1,1411177,"Engenharia de Software I",8.3
"52a2dad8414cf823a583b2909d847207",2004,1,1411178,"Sistemas de Informação I",7.8
"52a2dad8414cf823a583b2909d847207",2004,1,1108090,"Fundamentos de Física Moderna",8.3
"52a2dad8414cf823a583b2909d847207",2004,1,1411195,"Sistemas de Informação II",7.4
"52a2dad8414cf823a583b2909d847207",2004,1,1411193,"Banco de Dados I",7
"52a2dad8414cf823a583b2909d847207",2004,1,1411187,"Análise e Técnica de Algoritmos",5.3
"52a2dad8414cf823a583b2909d847207",2004,1,1411197,"Aval. de Desempenho de Sistemas Discretos",8.6
"52a2dad8414cf823a583b2909d847207",2004,1,1305220,"Informática e Sociedade",9
"52a2dad8414cf823a583b2909d847207",2004,1,1411169,"Paradigmas de Ling. de Programação",8.9
"52a2dad8414cf823a583b2909d847207",2004,1,1411175,"Org. e Arquitetura de Computadores I",7.3
"52a2dad8414cf823a583b2909d847207",2004,1,1411182,"Lab. de Org. e Arquitetura de Computadores",9
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411186,"Projeto em Computação II",6.8
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411188,"Métodos e Software Numéricos",7.83
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411196,"Inteligência Artificial I",8.1
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411185,"Projeto em Computação I",9.3
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411197,"Aval. de Desempenho de Sistemas Discretos",9.4
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411189,"Compiladores",9
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411192,"Sistemas Operacionais",7.6
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411187,"Análise e Técnica de Algoritmos",9.3
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411184,"Lab. de Intercon. de Redes de Computadores",8.6
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411183,"Laboratório de Engenharia de Software",9.3
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411191,"Interconexão de Redes de Computadores",8.6
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411194,"Banco de Dados II",8.8
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411174,"Introdução à Computação",6.9
"35f34037ff1ac17f90a98537802ee33a",2005,2,1411167,"Programação I",9.2
